Power,H,T,P,t1,p1,t2,p2,t4,p4,m4,m_gas,CLCSO
151.4345,29.36604881,24.29395485,100.81246340000001,24.6,-0.07,400.9,1.14,587.2115,0.31,1086194,48529,82.93265533
151.9538,29.38289642,24.28260612,100.811145,24.5,-0.07,400.8,1.14,587.227,0.3,1109333,48510,82.93144226
151.9093,28.62652397,24.23038864,100.8148682,24.5,-0.07,400.8,1.14,587.2130000000001,0.3,1145530,48475,82.94208527
151.7242,28.84871101,24.18494225,100.81246340000001,24.6,-0.07,400.9,1.14,587.3447,0.31,1185169,48398,82.96389771
152.179,28.62198257,24.14599228,100.8083923,24.6,-0.07,400.9,1.14,587.2858,0.29,1132244,48522,83.00262451
152.1173,29.09411621,24.13393402,100.81137700000001,24.5,-0.07,400.9,1.14,587.1569,0.3,1127082,48593,82.96996307
152.2731,29.14607811,24.16392899,100.8085205,24.5,-0.07,400.9,1.14,587.2474,0.29,1129491,48568,82.97571564
152.429,28.965662,24.12521935,100.8104553,24.5,-0.07,400.9,1.14,587.1881,0.29,1145855,48652,82.96608734
151.6833,28.81409264,24.12394142,100.81059570000001,24.6,-0.07,400.9,1.14,587.0668,0.29,1150589,48470,82.94844055
151.731,29.27933884,24.14066124,100.8114319,24.5,-0.07,400.8,1.14,586.9524,0.28,1125462,48461,82.96363831
152.2338,30.77097321,24.21016121,100.80914920000001,24.5,-0.07,400.8,1.14,586.9685,0.3,1170574,48566,82.97382355
151.7101,30.46380997,24.23381233,100.8091797,24.4,-0.07,400.8,1.14,586.5721,0.32,1106630,48547,82.97341919
152.6361,29.427429200000002,24.27781296,100.80755620000001,24.3,-0.07,400.5,1.14,586.8279,0.31,1185434,48581,82.98507690000001
152.0548,29.50156212,24.20544815,100.80314940000001,24.4,-0.07,400.4,1.14,587.0114,0.3,1159418,48586,82.98706055
152.0818,29.65497017,24.17500877,100.805603,24.6,-0.07,400.6,1.14,587.1061,0.3,1125190,48532,82.98145294
152.0107,29.90514946,24.162427899999997,100.80532840000001,24.7,-0.07,400.7,1.14,587.2425,0.3,1114934,48533,83.03414917
152.2943,29.86037254,24.14348793,100.8131348,24.5,-0.07,400.7,1.14,587.4276,0.3,1134631,48457,82.9690094
152.1459,30.22122765,24.13030434,100.80424190000001,24.4,-0.07,400.6,1.14,586.9785,0.3,1144118,48599,82.96669769
151.7329,30.32022667,24.12965584,100.80453490000001,24.3,-0.07,400.5,1.14,586.8837,0.28,1120037,48551,82.93556976
151.4805,30.32764816,24.11617851,100.80896,24.2,-0.07,400.4,1.14,587.0243,0.28,1132532,48436,82.90467072
151.8593,29.61808586,24.09779739,100.8083801,24.1,-0.07,400.3,1.14,586.8326,0.27,1118709,48554,82.94223022
152.1226,29.34113693,24.07412338,100.80629880000001,24.1,-0.07,400.1,1.14,586.6474,0.31,1108834,48512,82.89193726
151.6019,29.81608391,24.06825638,100.805304,24.2,-0.07,400.3,1.14,586.8882,0.28,1146703,48508,82.92119598
151.6738,30.15195465,24.09320068,100.8102051,24.2,-0.07,400.4,1.14,586.7997,0.29,1154550,48566,82.93966675
151.8365,29.49768829,24.08693314,100.8106995,24.3,-0.07,400.3,1.14,586.9449,0.31,1124331,48441,82.95278168
151.6725,31.09371185,24.081993100000002,100.8100098,24.4,-0.07,400.4,1.14,586.9858,0.32,1159332,48496,82.94875336
151.7587,32.26873016,24.11937332,100.80755,24.4,-0.07,400.4,1.14,587.1457,0.3,1139353,48563,82.94953918
151.8343,30.85333443,24.11322021,100.8062744,24.4,-0.07,400.5,1.14,586.8403,0.3,1117154,48525,82.93891907
