Power,p2,m_gas
229.1578,1.51,64550
230.2758,1.51,64556
230.6889,1.51,64997
229.5345,1.51,64595
228.8,1.51,64486
229.0907,1.51,64736
229.1261,1.51,64411
229.1199,1.5,64426
228.8723,1.51,64537
228.9957,1.5,64492
229.1705,1.51,64487
229.1173,1.51,64602
229.2082,1.5,64526
229.9949,1.5,64641
228.8176,1.51,64391
228.7312,1.5,64467
229.7786,1.5,64780
229.8194,1.51,64563
228.9369,1.5,64475
229.3153,1.5,64559
229.2465,1.5,64498
229.1943,1.5,64544
228.5505,1.51,64401
228.9335,1.5,64494
229.1537,1.51,64580
229.5128,1.5,64503
229.7249,1.5,64695
228.6953,1.51,64496
229.0206,1.5,64459
230.2628,1.51,64741
229.9837,1.51,64523
229.2431,1.51,64459
229.3663,1.5,64514
229.2147,1.51,64568
229.0298,1.5,64523
229.1773,1.5,64603
229.1701,1.5,64562
229.4501,1.5,64713
228.5507,1.5,64412
228.8736,1.5,64459
229.1175,1.5,64582
232.064,1.51,64624
230.6436,1.51,65139
229.2372,1.51,64751
228.8752,1.51,64664
228.9622,1.51,64592
229.889,1.51,64736
228.5,1.5,64485
229.3827,1.5,64429
229.4884,1.5,64514
229.4025,1.5,64428
228.8265,1.5,64604
229.4449,1.5,64583
228.8056,1.5,64439
229.1955,1.51,64377
229.5162,1.5,64706
229.0324,1.5,64296
229.8059,1.5,64488
229.199,1.5,64500
229.0515,1.51,64380
230.318,1.5,64511
229.485,1.5,64624
229.0884,1.51,64462
230.5376,1.51,64745
230.7112,1.51,64960
230.2489,1.51,64780
229.3228,1.51,64536
229.3159,1.5,64569
231.5328,1.51,65073
231.2256,1.51,64925
230.9246,1.5,64871
231.6114,1.5,64839
231.6198,1.5,64811
231.7332,1.5,65061
231.0077,1.5,64760
231.1573,1.5,64793
231.1328,1.5,64949
231.4214,1.5,64711
231.2095,1.5,64816
230.8644,1.5,64909
230.6686,1.5,64921
232.5241,1.5,64957
230.4282,1.5,64883
230.4787,1.5,64760
230.8426,1.5,64775
230.7574,1.5,64965
230.8645,1.5,64786
230.2151,1.5,64935
230.5527,1.5,64610
230.3417,1.5,64692
230.2814,1.5,64788
230.7598,1.5,64592
230.3254,1.5,64630
230.2017,1.5,64771
230.8834,1.5,64625
231.3154,1.5,64788
230.518,1.5,64755
230.3621,1.5,64776
230.5129,1.5,64798
230.4547,1.5,64873
231.1999,1.5,64719
230.9574,1.5,64829
230.8596,1.5,64749
230.2775,1.5,64688
231.1354,1.5,64901
230.9326,1.5,64671
230.1042,1.5,64675
230.0174,1.5,64762
230.22,1.5,64661
229.2027,1.5,64636
229.8984,1.5,64666
229.7987,1.5,64564
229.7686,1.5,64625
229.539,1.5,64689
230.3703,1.5,64583
229.7785,1.5,64705
230.5844,1.5,64653
230.1477,1.5,64720
230.1831,1.5,64805
229.6961,1.5,64557
229.8177,1.5,64623
230.6673,1.5,64779
230.3094,1.5,64719
230.396,1.5,64702
230.6524,1.5,64792
230.0486,1.5,64683
230.4367,1.5,64744
230.1176,1.5,64745
230.6955,1.5,64691
230.0133,1.5,64698
230.4159,1.5,64791
230.3376,1.5,64647
230.7135,1.5,64921
230.2289,1.5,64675
229.8615,1.5,64644
230.0748,1.5,64622
230.3528,1.5,64611
230.1358,1.5,64615
230.1066,1.5,64552
230.0078,1.5,64581
229.5321,1.5,64646
230.129,1.5,64677
229.8949,1.5,64529
229.4102,1.5,64600
230.1091,1.5,64710
229.528,1.5,64723
229.4807,1.5,64661
230.1978,1.5,64644
230.1453,1.5,64652
230.283,1.5,64751
230.2219,1.5,64627
230.2422,1.5,64650
229.7702,1.5,64703
230.1101,1.5,64568
229.9529,1.5,64580
230.3046,1.5,64755
229.6823,1.5,64483
229.8978,1.5,64558
229.6383,1.5,64605
229.4065,1.5,64512
230.11900000000003,1.5,64604
229.7841,1.5,64593
230.0965,1.5,64533
229.4934,1.5,64600
230.0818,1.5,64594
229.3369,1.5,64489
229.4495,1.5,64709
229.7274,1.5,64460
227.5975,1.49,64166
228.1784,1.5,64369
228.5875,1.5,64549
228.8127,1.51,64472
229.0214,1.51,64451
228.1229,1.5,64484
228.788,1.51,64462
229.8337,1.5,64576
229.2158,1.5,64694
229.333,1.5,64400
229.5696,1.51,64550
229.5128,1.5,64563
228.4723,1.5,64663
227.8223,1.5,64353
228.6713,1.5,64395
228.7038,1.5,64476
228.3149,1.5,64270
228.3665,1.5,64418
228.0041,1.5,64415
228.1448,1.5,64338
228.6475,1.5,64361
228.3186,1.5,64439
228.9027,1.5,64432
229.0598,1.5,64441
228.254,1.5,64564
228.7575,1.5,64547
229.0285,1.5,64560
228.6073,1.5,64522
228.4089,1.5,64473
228.0969,1.5,64427
228.8503,1.5,64422
228.5575,1.5,64387
228.2826,1.5,64461
229.0605,1.5,64419
228.4534,1.5,64458
228.4921,1.5,64419
228.8431,1.5,64455
228.5195,1.5,64500
228.3256,1.5,64366
227.7541,1.5,64354
228.9361,1.51,64342
228.355,1.5,64549
228.6456,1.5,64463
228.9636,1.5,64442
228.7352,1.5,64461
229.1117,1.5,64455
228.9804,1.51,64382
228.7639,1.5,64451
228.3159,1.5,64425
228.6814,1.5,64446
227.9541,1.5,64514
227.901,1.5,64415
228.0519,1.5,64462
228.3985,1.5,64427
227.942,1.5,64406
228.2427,1.5,64525
227.651,1.5,64219
228.6237,1.5,64458
228.4691,1.5,64479
229.2835,1.5,64448
228.5684,1.5,64372
228.6452,1.5,64548
228.7182,1.5,64357
228.2634,1.5,64372
228.1971,1.5,64307
229.0081,1.5,64461
227.6887,1.5,64317
227.9339,1.5,64334
227.8717,1.5,64411
228.1728,1.5,64268
228.1304,1.5,64359
229.2403,1.5,64552
227.9296,1.5,64383
228.7671,1.5,64451
228.727,1.5,64379
228.0926,1.5,64339
228.4992,1.5,64326
227.7582,1.5,64315
228.7449,1.5,64498
228.6125,1.5,64321
228.0809,1.5,64373
228.1729,1.5,64507
228.3987,1.5,64223
228.1486,1.5,64327
227.7966,1.5,64474
227.6818,1.5,64259
228.3484,1.5,64312
228.1976,1.5,64371
227.6722,1.5,64191
227.8781,1.5,64345
229.6169,1.5,64611
228.1212,1.5,64349
227.7569,1.5,64450
228.0261,1.5,64445
227.9677,1.5,64421
227.5165,1.5,64338
