P,p1,m4
100.8102051,-0.07,1154550
100.8106995,-0.07,1124331
100.8100098,-0.07,1159332
100.80755,-0.07,1139353
100.8062744,-0.07,1117154
100.8094116,-0.07,1152741
100.8085388,-0.07,1145358
100.8063354,-0.07,1112892
100.8066101,-0.07,1136543
100.8085815,-0.07,1139292
100.8062805,-0.07,1140948
100.8007263,-0.07,1133678
100.8017029,-0.07,1109056
100.8024963,-0.07,1122618
100.8015564,-0.07,1120136
100.8038574,-0.07,1136224
100.8023193,-0.07,1149480
100.7992737,-0.07,1089287
100.7992371,-0.07,1195943
100.8008972,-0.07,1115793
100.8036072,-0.07,1175233
100.8004883,-0.07,1150490
100.7992859,-0.07,1135486
100.7981079,-0.07,1143364
100.7994995,-0.07,1101308
100.7976318,-0.07,1160294
100.798175,-0.07,1186911
100.8025879,-0.07,1087270
100.8032593,-0.07,1069812
100.7994446,-0.07,1141348
100.7982422,-0.07,1105265
100.7929993,-0.07,1129742
100.7954651,-0.07,1107797
100.7975525,-0.07,1164251
100.795343,-0.07,1121200
100.7978333,-0.07,1180940
100.7985168,-0.07,1148885
100.7940735,-0.07,1120019
100.7999939,-0.07,1135959
100.7968689,-0.07,1098870
100.7983643,-0.07,1176445
100.79406740000002,-0.07,1118809
100.7976807,-0.07,1106777
100.7971741,-0.07,1127371
100.7990112,-0.07,1089625
100.8024841,-0.07,1132992
100.7962402,-0.07,1078393
100.7978149,-0.07,1145400
100.8003174,-0.07,1122426
100.7983398,-0.07,1081097
100.8011719,-0.07,1099269
100.7989807,-0.07,1041548
100.8009277,-0.07,1053258
100.7994934,-0.07,1069199
100.7992188,-0.07,1122242
100.8015076,-0.07,1064765
100.8045105,-0.07,1055077
100.8008789,-0.07,1054920
100.8008667,-0.07,1054648
100.8043213,-0.07,1114005
100.8017578,-0.07,1132463
100.8036072,-0.07,1084927
100.8008057,-0.07,1087242
100.7995728,-0.07,1085504
100.8042908,-0.07,1083938
100.8031494,-0.07,1094310
100.8037781,-0.07,1088351
100.8006714,-0.07,1090036
100.7976196,-0.07,1092159
100.8023621,-0.07,1059570
100.8053711,-0.07,1062822
100.8011536,-0.07,1040469
100.8029724,-0.07,1085240
100.7996521,-0.07,1115235
100.8026184,-0.07,1111091
100.8013733,-0.07,1081130
100.8027222,-0.07,1105015
100.8010803,-0.07,1044362
100.7980469,-0.07,1042639
100.7969421,-0.07,1094146
100.8022278,-0.07,1090058
100.8012756,-0.07,1036225
100.8026917,-0.07,1055460
100.8009827,-0.07,1037305
100.7972107,-0.07,1096235
100.8004089,-0.07,1124175
100.8046936,-0.07,1068878
100.797467,-0.07,1116497
100.8028015,-0.07,1082673
100.8037354,-0.07,1096998
100.8010681,-0.07,1093606
100.8038086,-0.07,1088322
100.8004822,-0.07,1064023
100.80047,-0.07,1054022
100.79649659999998,-0.07,1073022
100.798291,-0.07,1071982
100.7999329,-0.07,1033719
100.8005554,-0.07,1069132
100.7963257,-0.07,1084934
100.7958557,-0.07,1115273
100.7941345,-0.07,1068991
100.7926758,-0.07,1066968
100.7935303,-0.07,1126134
100.7925232,-0.07,1126190
100.7947449,-0.07,1131601
100.7978088,-0.07,1048995
100.7959778,-0.07,1072359
100.7986145,-0.07,1073887
100.7975281,-0.07,1082277
100.7956482,-0.07,1103300
100.7949219,-0.07,1112850
100.7911865,-0.07,1111529
100.791925,-0.07,1076164
100.7928101,-0.07,1068219
100.7918518,-0.07,1081361
100.7906677,-0.07,1086083
100.7918518,-0.07,1107209
100.7932007,-0.07,1083515
100.7922729,-0.07,1040962
100.7916382,-0.07,1119205
100.7874878,-0.07,1067717
100.7873291,-0.07,1106141
100.7930115,-0.07,1110901
100.7888916,-0.07,1044950
100.7885376,-0.07,1065526
100.7937378,-0.07,1116751
100.7911743,-0.07,1120133
100.7921143,-0.07,1061147
100.7910217,-0.07,1038268
100.7870178,-0.07,1064154
100.7902893,-0.07,1037570
100.7914856,-0.07,1072086
100.7866394,-0.07,1106766
100.7902466,-0.07,1017811
100.7891785,-0.07,1054126
100.7904297,-0.07,1114883
100.7938171,-0.07,1037057
100.7938843,-0.07,1045995
100.79002690000002,-0.07,1022949
100.7905945,-0.07,1061462
100.7906311,-0.07,1067202
100.7900696,-0.07,1102970
100.7916077,-0.07,1040773
100.78349,-0.07,979940
100.7849182,-0.07,1083390
100.7799866,-0.07,1134064
100.7881836,-0.07,1100288
100.7822693,-0.07,1053258
100.7812805,-0.07,1038383
100.7813477,-0.07,1068518
100.7829407,-0.07,1121151
100.7770447,-0.07,1072852
100.7838318,-0.07,1075772
100.7818665,-0.07,1125399
100.7777588,-0.07,1073426
100.7760803,-0.07,1072763
100.7774658,-0.07,1035581
100.7777527,-0.07,1066722
100.7808105,-0.07,1112059
100.772644,-0.07,981777
100.7750916,-0.07,1059653
100.7766785,-0.07,1073809
100.7730835,-0.07,1039497
100.7719849,-0.07,1082313
100.7712952,-0.07,1064876
100.77323,-0.07,1120979
100.7729858,-0.07,1090139
100.7741211,-0.07,1113418
100.7733704,-0.07,1041272
100.7706116,-0.07,1033214
100.7726379,-0.07,1071750
100.7704407,-0.07,1076477
100.775647,-0.07,1099633
100.7775513,-0.07,1105132
100.7725464,-0.07,1085934
100.7753601,-0.07,1082546
100.7764099,-0.07,1096789
100.7783386,-0.07,1086421
100.7783508,-0.07,1121681
100.779657,-0.07,1109288
100.78267209999998,-0.07,1112783
100.7791992,-0.07,1120084
100.7806763,-0.07,1062636
100.7762085,-0.07,1128174
100.7750183,-0.07,1075676
100.7753174,-0.07,1041438
100.7786133,-0.07,1075616
100.7777161,-0.07,1145061
100.77624509999998,-0.07,1081353
100.7763855,-0.07,1086053
100.7791138,-0.07,1117550
100.7810242,-0.07,1132484
100.7816467,-0.07,1092421
100.7724365,-0.07,1109864
100.7821533,-0.07,1087861
100.7783997,-0.07,1098244
100.7784302,-0.07,1075851
100.7824402,-0.07,1106540
100.776593,-0.07,1081956
100.7807678,-0.07,1132945
100.7760803,-0.07,1057159
100.7786072,-0.07,1141741
100.7794983,-0.07,1088406
100.7755188,-0.07,1115674
100.7778137,-0.07,1094551
100.7792175,-0.07,1072623
100.7767273,-0.07,1126253
100.77982790000002,-0.07,1103475
100.7780151,-0.07,1080721
100.7758484,-0.07,1092821
100.7759888,-0.07,1085652
100.7772217,-0.07,1104092
100.773999,-0.07,1038558
100.776593,-0.07,1096252
100.77381590000002,-0.07,1101018
100.7710815,-0.07,1069015
100.7671509,-0.07,1106863
100.7704163,-0.07,1088797
100.7709778,-0.07,1127580
100.7714783,-0.07,1072182
100.7724426,-0.07,1154999
100.7696594,-0.07,1100832
100.7709229,-0.07,1114159
100.7724121,-0.07,1109238
100.7674316,-0.07,1127504
100.7704285,-0.07,1100791
100.769989,-0.07,1112934
100.7702515,-0.07,1119049
100.7708313,-0.07,1139558
100.7693787,-0.07,1120329
100.7698914,-0.07,1120073
100.770813,-0.07,1066171
100.7688843,-0.07,1087385
100.7685547,-0.07,1154216
100.7651489,-0.07,1110619
100.7652832,-0.07,1103954
100.762439,-0.07,1082044
100.7567261,-0.07,1106373
100.763446,-0.08,1068603
100.7628357,-0.07,1120950
100.7610107,-0.07,1087467
100.7601257,-0.07,1125520
100.7652344,-0.07,1069486
100.766333,-0.07,1083924
100.7597595,-0.07,1071100
100.76600340000002,-0.07,1133982
100.7644592,-0.08,1118764
100.761499,-0.07,1139887
100.7599792,-0.07,1090387
100.7645508,-0.07,1062352
100.7683777,-0.07,1051024
100.7643677,-0.07,1068189
100.7649902,-0.07,1088791
100.7682678,-0.07,1074787
100.7681091,-0.08,1068788
100.7728638,-0.07,1015075
100.7703918,-0.07,1097177
100.7683594,-0.07,1068646
100.77323,-0.07,1098503
100.7722961,-0.07,1126971
100.7746887,-0.07,1067703
100.7749878,-0.07,1107964
100.77570190000002,-0.08,1094804
100.7709167,-0.07,1078077
100.7774902,-0.08,1074157
100.7728088,-0.07,1087359
100.771405,-0.08,1078456
100.7777222,-0.07,1069146
100.7727722,-0.07,1077926
100.77485959999998,-0.07,1071717
100.7785828,-0.07,1063206
