T,t1,t2,t4
33.76393127,31.5,466.5,609.1119
33.69515228,31.1,466.6,608.6747
33.58462906,31.1,466.2,608.4813
33.56753922,30.8,466.1,607.7037
33.37459564,30.8,466.1,607.5255
33.27634811,30.8,466.2,607.1592
33.26823425,30.9,466.2,607.915
33.28303909,30.8,466.2,607.3635
33.19160843,31.0,466.2,607.4089
33.09178543,31.4,466.5,607.9111
33.01849365,31.1,466.1,608.0422
32.908145899999994,31.0,466.1,607.8142
32.78648758,30.8,465.8,607.159
32.76641083,31.1,465.9,607.4086
32.78621292,30.7,465.9,607.2967
32.71562195,30.7,465.6,606.7418
32.68213272,30.7,465.6,606.8380000000001
32.63957977,30.6,465.6,606.9617
32.65153885,30.9,465.8,607.0827
32.60337448,31.2,465.9,607.8945
32.39520264,30.8,465.9,608.2438
32.28343582,30.4,465.6,607.4946
32.33011246,30.8,465.6,606.8403
32.48031616,31.1,466.0,607.4556
32.52972031,31.2,466.1,607.9297
32.41695023,30.7,465.9,607.2504
32.50561523,30.5,465.8,606.7154
32.51978302,30.9,465.8,607.3394
32.54527283,30.9,465.6,607.8886
32.48936462,30.8,465.8,607.8475
32.46052933,30.6,465.7,607.3578
32.46660995,30.5,465.6,606.7816
32.41223145,30.9,465.8,607.7438
32.46945953,31.0,465.7,607.508
32.49673462,30.8,465.6,607.3428
32.50545883,30.7,465.8,607.1246
32.56680679,30.7,465.6,607.6044
32.56622696,30.7,465.7,607.3737
32.50847626,30.8,465.8,606.933
32.49160767,30.8,465.8,607.1568
32.42120743,30.5,465.8,607.1656
32.29827118,30.8,465.7,607.2064
32.31081009,30.7,465.5,607.4749
32.326179499999995,30.8,465.6,607.3259
32.28789139,30.8,465.8,607.3611
32.22913361,30.2,465.4,606.7603
32.21860886,30.4,465.4,607.1467
32.27822113,31.0,465.6,607.2387
32.18045044,30.7,465.7,606.8505
32.18884659,31.1,465.9,607.553
32.24423599,31.0,465.8,607.7354
32.30324554,30.7,465.7,607.5402
32.31080246,31.2,466.0,607.7044
32.30284882,30.7,465.8,607.3858
32.27745819,30.9,465.8,606.9758
32.15895081,30.6,465.5,606.4454
32.04485703,31.2,465.9,606.9084
31.86347198,31.2,465.9,607.453
31.79298019,30.9,465.9,607.7378
